country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
ESP;2018;PTB;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2017;LLS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;OTB;PTB_MPD_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GTN;NK;#VALUE!;;;;;;;;;;;;;;
ENG;2016;GND;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;PTB;NK;#VALUE!;;;;;;;;;;;;;;
DNK;2013;GTR;GNS_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2020;GTR;GNS_DEF_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2017;OTT;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LLS;PS_SPF_10-31_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2018;GNC;GNS_SPF_10-30_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;TBB;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2015;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LHM;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;DRB;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
NIR;2019;DRB;NK;#VALUE!;;;;;;;;;;;;;;
FRA;2013;NO;DIV_DES_0_0_0;#VALUE!;;;;;;;;;;;;;;
GRC;2014;GTR;SV_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;OTT;OTB_DEF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;PS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GTN;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2014;LLS;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;NK;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;GNS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
